ID,NumCode,CharCode,Nominal,Name,Value
R01010,36,AUD,1,Австралийский доллар,"20,8330"
R01035,826,GBP,1,Фунт стерлингов Соединенного королевства,"51,1594"
R01090,974,BYR,1000,Белорусских рублей,"14,4789"
R01215,208,DKK,10,Датских крон,"47,9305"
R01235,840,USD,1,Доллар США,"30,6142"
R01239,978,EUR,1,Евро,"35,6043"
R01310,352,ISK,100,Исландских крон,"40,0395"
R01335,398,KZT,100,Казахстанских тенге,"20,5656"
R01350,124,CAD,1,Канадский доллар,"22,6873"
R01535,578,NOK,10,Норвежских крон,"43,6971"
R01589,960,XDR,1,СДР (специальные права заимствования),"43,2674"
R01625,702,SGD,1,Сингапурский доллар,"17,7053"
R01700,792,TRL,1000000,Турецких лир,"21,9457"
R01720,980,UAH,10,Украинских гривен,"56,7897"
R01770,752,SEK,10,Шведских крон,"39,8596"
R01775,756,CHF,1,Швейцарский франк,"23,1225"
R01820,392,JPY,100,Японских иен,"27,6152"
