Технический консультант.,12201.439999999999,Санкт-Петербург,2003-09-19T14:42:13+0400
Broadcast encryption engineer,63568.8,Южная Корея,2003-01-31T18:24:11+0300
Embedded OS engineering manager,63568.8,Москва,2003-01-31T18:25:43+0300
Начальник Управления автоматизации крупного банка (ТОР-30),122014.4,Москва,2003-09-09T00:00:00+0400
Специалист (настройщик) модуля BASIS SAP R/3,91842.6,Москва,2003-10-06T00:00:00+0400
Менеджер по продвижению программных продуктов,31380.1,Москва,2003-04-01T18:28:37+0400
Технический писатель,9414.029999999999,Москва,2003-04-01T18:35:22+0400
Key account manager  (продажа компьютерного оборудования),45755.4,Москва,2003-09-19T00:00:00+0400
Системный инженер,36737.04,Москва,2003-10-06T00:00:00+0400
"Project manager (ERP, SCM)",61007.2,Москва,2003-09-05T00:00:00+0400
Бизнес-аналитик,37322.52,Москва,2003-05-14T16:18:16+0400
Аccount manager,91510.8,Москва,2003-09-10T00:00:00+0400
Корреспондент-редактор медицинского интернет-портала,24402.879999999997,Москва,2003-09-21T00:00:00+0400
Продакт-менеджер,153071.0,Москва,2003-10-21T00:00:00+0400
Руководитель представительства,33640.0801,Челябинск,2003-08-28T00:00:00+0400
Sales representative,30503.6,Москва,2003-09-06T00:00:00+0400
Специалист по оптимизации товарных запасов,49134.4,Москва,2003-06-11T19:11:29+0400
Сервис-менеджер,24567.2,Москва,2003-06-18T17:38:56+0400
Менеджер по закупкам,30709.0,Москва,2003-06-19T12:41:24+0400
Sales manager,30709.0,Москва,2003-06-19T14:37:30+0400
Сервис-инженер.,10597.685,Санкт-Петербург,2003-08-19T00:00:00+0400
Программист группы внедрения,45921.3,Москва,2003-10-13T00:00:00+0400
Программист 1С,39362.83,Москва,2003-08-22T00:00:00+0400
Cпециалист в отдел внедрения,36604.32,Москва,2003-09-25T00:00:00+0400
Менеджер по продажам телекоммуникационного оборудования,75952.25,Москва,2003-07-09T12:23:21+0400
Key Account Manager,75697.75,Москва,2003-08-20T00:00:00+0400
Продакт менеджер по серверному оборудованию,45755.4,Москва,2003-09-30T00:00:00+0400
Sales engineer/technical pre-sale,76259.0,Москва,2003-09-30T00:00:00+0400
Консультант по внедрению (Oracle E-Business Suite),61228.4,Москва,2003-10-27T00:00:00+0300
"Консультант-разработчик (Developer 2000/6i (Forms, Reports)",30380.9,Москва,2003-07-16T18:31:53+0400
"БИЗНЕС АНАЛИТИК ИНФОРМАЦИОННЫХ СИСТЕМ, АРХИТЕКТОР БАЗ ДАННЫХ",30380.9,Москва,2003-07-17T11:25:13+0400
Системный администратор,24304.72,Москва,2003-07-17T15:47:04+0400
Специалист отдела труда и заработной платы.,36737.04,Москва,2003-10-06T00:00:00+0400
Продукт-менеджер по промышленным компьютерам,45571.35,Санкт-Петербург,2003-07-18T12:27:41+0400
Financial systems support specialist (IT Specialist),88104.61,Москва,2003-07-18T16:38:26+0400
Менеджер в отдел сувенирной продукции,15190.45,Москва,2003-07-18T18:59:15+0400
"Менеджер по работе с партнерами, вендорами",30503.6,Москва,2003-09-15T00:00:00+0400
Системный администратор,30503.6,Москва,2003-09-17T00:00:00+0400
Системный администратор,24402.879999999997,Москва,2003-09-17T00:00:00+0400
Sales Consultant,24304.72,Москва,2003-07-21T17:04:03+0400
IT - АДМИНИСТРАТОР СИСТЕМЫ ТОВАРНОГО УЧЕТА,27552.78,Москва,2003-10-06T00:00:00+0400
Администратор  (OEBS),30380.9,Москва,2003-07-23T14:44:49+0400
Telecommunication Analyst,51474.47,Москва,2003-08-20T00:00:00+0400
Web  Content Manager,27552.78,Москва,2003-10-07T00:00:00+0400
Программист-разработчик на Access в крупную компьютерную компанию.,21195.37,Москва,2003-08-20T00:00:00+0400
Менеджер по региональным продажам в дилерский отдел компании-дистрибутора компьютерной техники.,30614.2,Москва,2003-10-07T00:00:00+0400
Старший ПРОДАКТ МЕНЕДЖЕР по продукции Maxtor,122456.8,Москва,2003-10-07T00:00:00+0400
Менеджер Интернет проектов,45921.3,Москва,2003-10-07T00:00:00+0400
Системный администратор,30279.1,Москва,2003-08-25T00:00:00+0400
ИТ специалист (SAP R/3),90837.3,Москва,2003-08-26T00:00:00+0400
Администратор баз данных SAP R/3,60558.2,Москва,2003-08-26T00:00:00+0400
Менеджер по продажам проектов,60761.8,Санкт-Петербург,2003-07-29T12:17:44+0400
"Архитектор (VB, ASP)",21195.37,Санкт-Петербург,2003-08-27T00:00:00+0400
Администратор финансовых информационных систем и Oracle,45921.3,Москва,2003-10-06T00:00:00+0400
Supply Business Process Development Coordinator,38129.5,Москва,2003-09-19T00:00:00+0400
Заместитель начальника отдела закупок,151395.5,Москва,2003-08-25T00:00:00+0400
Программист Visual C++,15139.55,Санкт-Петербург,2003-08-25T00:00:00+0400
Инженер-конструктор,15139.55,Санкт-Петербург,2003-08-25T00:00:00+0400
Менеджер по маркетингу,21195.37,Санкт-Петербург,2003-08-27T00:00:00+0400
Менеджер по развитию бизнеса.,61007.2,Москва,2003-09-26T00:00:00+0400
Technical Consultant (telecom sphere),91510.8,Москва,2003-09-01T00:00:00+0400
Функциональный консультант,61007.2,Москва,2003-09-01T00:00:00+0400
C Developer.,39654.68,Москва,2003-09-01T00:00:00+0400
SAP R/3 (SD module) Консультант,91510.8,Москва,2003-09-01T00:00:00+0400
Team Leader,45755.4,Санкт-Петербург,2003-09-01T00:00:00+0400
С/C++ разработчика под Linux,36604.32,Санкт-Петербург,2003-09-01T00:00:00+0400
PMA-2 Администратор проектов,48805.759999999995,Москва,2003-09-22T00:00:00+0400
РАЗРАБОТЧИК WEB-ТЕХНОЛОГИЙ,39362.83,Москва,2003-08-26T00:00:00+0400
Маркетолог,48805.759999999995,Москва,2003-09-30T00:00:00+0400
Разработчик компиляторов,30279.1,Санкт-Петербург,2003-08-27T00:00:00+0400
Руководитель проектов,36334.92,Санкт-Петербург,2003-08-27T00:00:00+0400
Менеджер проекта по внедрению ERP системы /финансово бухгалтерский блок/,101668.4988,Москва,2003-09-03T00:00:00+0400
Руководитель проекта внедрения (Oracle EBS),76535.5,Москва,2003-10-27T00:00:00+0300
Менеджер по продажам IT проектов,151395.5,Москва,2003-08-29T00:00:00+0400
Менеджер по работе с клиентами,151395.5,Москва,2003-08-29T00:00:00+0400
Service Project Manager,52044.14,Москва,2003-10-07T00:00:00+0400
Специалист по SAP R/3,60558.2,Москва,2003-08-14T17:40:03+0400
Специалист по поддержке банковских приложений,75697.75,Москва,2003-08-15T11:37:41+0400
IT - директор (CIO),106762.59999999999,Москва,2003-09-10T00:00:00+0400
Руководитель отдела маркетинга,75697.75,Москва,2003-08-15T13:05:04+0400
Sales Director,151395.5,Москва,2003-08-15T15:01:10+0400
Системный аналитик,45418.65,Москва,2003-08-15T18:20:06+0400
Менеджер по IT и системному интегрированию,91510.8,Москва,2003-09-05T00:00:00+0400
Business Application Specialist,43904.695,Москва,2003-08-18T10:15:10+0400
